DayOfWeek,Hour,Sunrise_Sunset,Is_Weekend,Total_Accidents,Severe_Accidents
Saturday,17,Unknown,True,150,18
Saturday,18,Day,True,16940,3981
Saturday,18,Night,True,17647,3090
Saturday,18,Unknown,True,144,23
Saturday,19,Day,True,9696,2342
Saturday,19,Night,True,20257,3661
Saturday,19,Unknown,True,122,13
Saturday,20,Day,True,2183,615
Saturday,20,Night,True,24906,4577
Saturday,20,Unknown,True,102,7
Saturday,21,Day,True,29,12
Saturday,21,Night,True,26292,5011
Saturday,21,Unknown,True,116,7
Saturday,22,Night,True,23268,4064
Saturday,22,Unknown,True,101,14
Saturday,23,Night,True,19241,2758
Saturday,23,Unknown,True,115,12
Sunday,0,Night,True,18243,2851
Sunday,0,Unknown,True,113,19
Sunday,1,Night,True,16562,2628
Sunday,1,Unknown,True,66,9
Sunday,2,Night,True,16787,2987
Sunday,2,Unknown,True,75,8
Sunday,3,Night,True,14418,2648
Sunday,3,Unknown,True,45,2
Sunday,4,Night,True,13637,2970
Sunday,4,Unknown,True,53,4
Sunday,5,Day,True,538,179
Sunday,5,Night,True,13017,2812
Sunday,5,Unknown,True,61,3
Sunday,6,Day,True,5303,1668
Sunday,6,Night,True,10778,2620
Sunday,6,Unknown,True,86,19
Sunday,7,Day,True,15622,4739
Sunday,7,Night,True,2571,760
Sunday,7,Unknown,True,45,4
Sunday,8,Day,True,17998,4836
Sunday,8,Night,True,9,0
Sunday,8,Unknown,True,62,10
Sunday,9,Day,True,20795,5044
Sunday,9,Unknown,True,71,7
Sunday,10,Day,True,25689,6068
Sunday,10,Unknown,True,115,9
Sunday,11,Day,True,30191,7207
Sunday,11,Unknown,True,96,7
Sunday,12,Day,True,32508,7668
Sunday,12,Unknown,True,129,12
Sunday,13,Day,True,34766,8723
Sunday,13,Unknown,True,144,12
Sunday,14,Day,True,35696,8598
Sunday,14,Unknown,True,177,20
Sunday,15,Day,True,33853,8308
Sunday,15,Unknown,True,164,17
Sunday,16,Day,True,31647,7681
Sunday,16,Night,True,1144,210
Sunday,16,Unknown,True,156,16
Sunday,17,Day,True,22194,5226
Sunday,17,Night,True,8882,1436
Sunday,17,Unknown,True,162,14
Sunday,18,Day,True,14740,3778
Sunday,18,Night,True,14885,2771
Sunday,18,Unknown,True,126,13
Sunday,19,Day,True,9075,2404
Sunday,19,Night,True,17311,3230
Sunday,19,Unknown,True,148,17
Sunday,20,Day,True,2031,585
Sunday,20,Night,True,21846,4218
Sunday,20,Unknown,True,98,8
Sunday,21,Day,True,24,5
Sunday,21,Night,True,22786,4629
Sunday,21,Unknown,True,112,15
Sunday,22,Night,True,19041,3529
Sunday,22,Unknown,True,96,7
Sunday,23,Night,True,15686,2397
Sunday,23,Unknown,True,71,5
Thursday,0,Night,False,15600,2369
Thursday,0,Unknown,False,56,5
Thursday,1,Night,False,13443,1734
Thursday,1,Unknown,False,44,6
Thursday,2,Night,False,12252,1732
Thursday,2,Unknown,False,48,4
Thursday,3,Night,False,11338,1938
Thursday,3,Unknown,False,45,9
Thursday,4,Day,False,1,0
Thursday,4,Night,False,26300,5580
Thursday,4,Unknown,False,76,8
Thursday,5,Day,False,1981,431
Thursday,5,Night,False,38203,7447
Thursday,5,Unknown,False,118,16
Thursday,6,Day,False,23056,4689
Thursday,6,Night,False,51645,9720
Thursday,6,Unknown,False,176,29
Thursday,7,Day,False,95867,16836
Thursday,7,Night,False,16349,3019
Thursday,7,Unknown,False,281,65
Thursday,8,Day,False,108918,19998
Thursday,8,Night,False,91,12
Thursday,8,Unknown,False,275,32
Thursday,9,Day,False,63537,13098
Thursday,9,Unknown,False,162,25
Thursday,10,Day,False,56843,11187
Thursday,10,Unknown,False,190,38
Thursday,11,Day,False,56608,10506
Thursday,11,Unknown,False,146,20
Thursday,12,Day,False,55646,10383
Thursday,12,Unknown,False,232,34
Thursday,13,Day,False,63335,11141
Thursday,13,Unknown,False,205,28
Thursday,14,Day,False,74422,12554
Thursday,14,Unknown,False,186,26
Thursday,15,Day,False,90882,15943
Thursday,15,Unknown,False,275,35
Thursday,16,Day,False,99911,18924
Thursday,16,Night,False,2936,591
Thursday,16,Unknown,False,286,27
Thursday,17,Day,False,79304,16380
Thursday,17,Night,False,24718,4173
Thursday,17,Unknown,False,241,25
Thursday,18,Day,False,39524,9526
Thursday,18,Night,False,33709,6503
Thursday,18,Unknown,False,155,22
Thursday,19,Day,False,16411,4249
Thursday,19,Night,False,31356,6283
Thursday,19,Unknown,False,127,17
Thursday,20,Day,False,2941,779
Thursday,20,Night,False,32079,6978
Thursday,20,Unknown,False,142,24
Thursday,21,Day,False,25,5
Thursday,21,Night,False,29170,6021
Thursday,21,Unknown,False,107,18
Thursday,22,Night,False,25754,5508
Thursday,22,Unknown,False,87,10
Thursday,23,Night,False,18359,2950
Thursday,23,Unknown,False,55,4
Tuesday,0,Night,False,14512,2357
Tuesday,0,Unknown,False,79,12
Tuesday,1,Night,False,11875,1611
Tuesday,1,Unknown,False,54,8
Tuesday,2,Night,False,10540,1714
Tuesday,2,Unknown,False,36,6
Tuesday,3,Night,False,10031,1795
Tuesday,3,Unknown,False,35,1
Tuesday,4,Night,False,24132,5143
Tuesday,4,Unknown,False,64,14
Tuesday,5,Day,False,1837,412
Tuesday,5,Night,False,38013,7470
Tuesday,5,Unknown,False,98,8
Tuesday,6,Day,False,24246,5055
Tuesday,6,Night,False,54418,10373
Tuesday,6,Unknown,False,157,21
Tuesday,7,Day,False,101140,18405
Tuesday,7,Night,False,17535,3518
Tuesday,7,Unknown,False,245,23
Tuesday,8,Day,False,116378,21862
Tuesday,8,Night,False,87,8
Tuesday,8,Unknown,False,276,32
Tuesday,9,Day,False,65088,13776
Tuesday,9,Unknown,False,209,38
Tuesday,10,Day,False,56140,11097
Tuesday,10,Unknown,False,155,21
Tuesday,11,Day,False,53997,10414
Tuesday,11,Unknown,False,144,21
Tuesday,12,Day,False,52418,9711
Tuesday,12,Unknown,False,155,30
